Name,A_1,A_2,B_1,B_2,C_1,C_2,D_1,D_2,1_1,1_2,2_1,2_2,3_1,3_2,4_1,4_2
Aphro,141,173,200,235,190,190,286,294,252,256,302,322,229,237,287,295
Apollo,141,141,196,235,158,190,298,298,256,260,322,322,237,245,271,295
Apple,161,173,200,204,182,190,294,298,256,260,302,326,237,241,283,295
Aqua,157,173,204,235,182,190,294,298,256,260,310,322,229,237,287,295
Aris,173,173,200,235,190,190,294,302,244,252,302,322,229,233,287,295
Bahati,141,153,204,204,186,186,286,298,248,260,322,322,225,237,287,295
Baroza,141,141,204,231,186,190,290,298,256,260,322,322,225,241,287,287
Baseke,153,173,204,204,186,194,286,302,256,260,302,322,225,237,271,295
Beethoven,141,157,200,204,190,190,302,302,,,,,,,,
Bibi,141,153,204,235,186,190,286,298,248,256,302,322,233,237,287,295
Bima,141,153,200,204,186,186,286,298,248,260,310,322,237,237,287,295
Candy,141,153,196,231,182,190,290,302,,,,,,,,
Ch-085,141,161,196,196,186,190,294,302,244,256,318,322,225,241,287,287
Ch-095,141,173,200,204,186,186,302,306,248,260,310,330,241,249,283,295
Ch-106,141,177,196,204,182,190,298,302,236,256,310,322,233,237,295,295
Ch-109,141,161,200,200,182,190,286,302,256,256,302,318,237,241,279,295
Chema,157,157,231,235,190,190,268,302,256,260,318,322,237,249,271,287
Cocoa,153,157,196,200,182,182,290,302,,,,,,,,
Darbee,157,173,231,235,186,190,286,302,256,256,302,322,237,237,295,295
Diaz,141,161,204,235,182,182,302,302,256,256,322,322,237,237,279,295
Dilly,141,161,204,231,182,190,302,302,244,256,322,322,237,241,287,295
Duke,141,173,200,231,190,194,302,302,244,256,310,322,237,237,271,295
Echo,141,177,196,196,186,190,290,298,248,248,322,322,225,241,271,279
Eden,141,141,200,235,182,190,268,302,256,268,302,322,237,237,287,295
Edgar,141,141,196,235,186,190,298,306,256,260,302,302,233,237,279,295
Eliza,141,141,235,235,158,182,298,302,256,256,322,322,229,233,287,295
Eowyn,161,177,196,196,190,190,290,302,244,248,318,322,225,241,279,287
Eva,141,153,196,235,190,190,298,302,260,268,302,322,237,237,295,295
Fadhila,141,161,200,235,182,190,286,302,260,260,322,322,237,237,279,283
Falida,141,141,196,204,190,194,298,306,244,260,302,326,237,237,279,279
Familia,141,161,200,200,186,190,286,302,244,260,322,322,237,237,279,295
Fanni,141,173,196,200,190,194,302,306,256,260,322,326,229,237,279,279
Fansi,141,161,200,235,182,194,268,306,244,260,322,326,229,237,279,283
Faustino,141,161,200,235,182,182,286,302,248,256,318,322,237,241,279,295
Fede,141,141,196,235,190,194,306,306,244,256,302,326,237,237,279,279
Ferdinand,141,161,200,235,182,194,286,302,256,260,322,322,237,241,279,287
Fifti,161,173,196,235,186,190,286,306,248,260,318,322,229,237,279,295
Flirt,141,173,196,200,182,194,298,302,244,244,302,322,241,241,295,295
Flossi,141,161,204,235,190,194,298,306,244,260,322,326,229,237,279,279
Flower,141,173,235,235,190,190,306,306,244,248,322,322,233,237,279,279
Forest,141,141,231,235,190,190,302,306,244,248,322,330,229,237,279,295
Freud,141,157,196,200,182,194,302,302,248,256,302,322,229,237,287,295
Frodo,141,173,200,204,182,194,302,302,248,256,302,322,229,237,279,287
Fudge,141,161,200,200,186,190,290,306,252,256,318,326,237,237,279,295
Fundi,141,161,196,200,186,190,290,306,244,256,322,322,237,237,279,295
Gaia,141,161,235,235,182,190,286,298,256,260,318,322,237,241,279,283
Gimble,141,161,204,235,190,190,302,302,,,,,,,,
Gimli,141,161,204,204,182,186,286,294,244,256,302,318,237,249,279,287
Gizmo,141,161,200,235,182,182,286,302,244,256,302,322,237,241,279,279
Glama,161,173,200,200,182,186,306,306,256,256,302,326,233,237,279,279
Glitter,141,173,204,204,182,190,286,302,244,256,302,322,229,237,279,287
Goblin,161,173,196,235,190,190,302,306,,,,,,,,
Golden,141,173,200,204,182,194,302,306,248,256,302,302,237,237,279,279
Google,141,161,200,235,182,190,286,302,248,260,318,318,241,241,283,295
Gossman,141,141,196,204,186,190,290,302,244,244,302,322,237,237,279,287
Gremlin,141,161,204,235,182,190,286,306,244,256,302,318,237,241,279,295
Haiki,141,177,204,235,182,182,294,298,232,256,322,330,233,249,271,287
Hope,141,161,235,235,190,190,286,302,248,248,302,302,237,241,271,295
Imani,141,173,196,196,190,190,290,302,244,248,318,322,225,229,279,287
Ipo,153,173,196,235,182,190,298,302,244,260,318,322,225,237,279,283
Jiffy,141,161,231,235,190,190,286,302,248,260,302,302,237,241,295,295
Kati (Tita),153,161,200,204,182,190,268,286,260,264,310,322,241,249,287,295
Kazi,141,153,196,200,182,190,268,294,244,264,318,322,237,241,287,295
Keaton,153,161,204,204,186,190,286,298,260,268,302,322,233,249,287,295
Kipara,153,157,204,235,186,190,290,298,256,268,302,302,233,237,287,287
Kocha,141,161,200,235,182,182,302,306,256,260,322,334,241,249,271,279
Komoa,161,177,235,235,182,190,306,306,244,256,302,334,233,249,279,295
Konyagi,161,177,200,235,182,190,306,306,256,260,310,334,233,249,271,295
Kris,141,141,196,231,182,190,290,302,244,256,302,322,241,241,287,295
Lamba,153,161,200,204,182,182,268,268,232,256,318,322,225,237,279,287
Londo,141,161,196,200,182,190,302,302,248,248,302,318,237,241,295,295
Loretta,141,161,196,204,182,190,302,302,248,248,318,322,237,237,295,295
Losa,141,161,196,231,182,186,302,306,248,248,322,322,237,237,295,295
Lucy,141,153,200,204,182,182,268,302,232,244,318,322,225,237,279,287
Lutana,141,177,204,231,182,190,290,298,256,260,318,330,241,249,271,287
Lutata,141,141,204,235,182,190,302,306,232,260,302,318,225,233,279,287
Makiwa,141,177,204,231,182,190,290,298,256,260,318,330,241,249,271,287
Malaika,161,177,204,204,182,186,294,302,232,260,310,322,233,237,271,287
Mambo,161,161,204,235,186,190,298,302,244,260,302,310,237,237,271,287
Maybee,157,173,231,235,186,190,302,302,244,256,322,322,233,237,295,295
Mgani,141,157,235,235,182,190,298,302,256,260,302,318,237,241,287,295
Misheli,141,157,235,235,190,190,298,302,256,256,302,318,233,241,295,295
Nasa,157,161,196,196,182,182,286,294,244,260,318,326,229,241,287,295
Nuru,141,141,204,235,190,190,290,302,244,260,322,322,229,237,287,287
Nyota,141,161,200,235,186,190,290,302,244,256,322,326,237,237,287,295
Otali,153,161,235,235,182,186,302,302,244,248,302,326,233,241,287,295
Pairotti_Poa,141,173,196,231,158,182,294,294,260,268,302,310,237,241,295,295
Pamera,141,161,196,200,190,190,298,302,252,256,322,322,237,241,287,295
Patina,141,161,200,204,182,190,298,302,256,260,322,326,229,237,287,295
Patti,153,173,196,200,190,190,268,302,244,,,,,,,
Pax,141,161,235,235,182,190,286,298,244,256,302,322,237,237,279,287
Porosa,161,173,231,231,182,182,286,294,260,268,310,322,229,241,283,295
Rudi,161,173,231,235,186,190,302,306,244,248,302,322,233,237,279,295
Rumumba,153,161,200,200,182,182,268,298,232,260,318,326,237,241,279,287
Safi,141,153,196,235,158,186,298,298,244,256,318,322,245,249,271,287
Sampson,141,157,231,235,158,186,286,298,244,256,302,322,237,245,295,295
Samwise,141,173,204,231,186,194,302,302,248,268,302,302,229,237,287,295
Sandi,157,173,231,231,186,190,286,302,244,268,302,302,233,237,295,295
Schweini,153,161,196,235,186,186,286,298,244,248,318,318,237,249,283,287
Sheldon,141,161,196,200,186,186,286,290,244,252,318,322,237,237,295,295
Sherehe,157,173,200,231,186,190,302,302,,,,,,,,
Shwali,153,173,196,200,186,190,302,302,244,264,310,318,237,237,287,287
Sifa,141,161,196,196,182,190,294,302,244,260,302,310,237,241,287,295
Sindbad,157,173,204,231,182,194,286,302,248,252,302,302,237,237,279,295
Siri,141,157,196,231,190,190,286,298,260,268,302,322,237,237,271,295
Skosha,173,173,196,196,158,182,294,298,,,,,,,,
Sparrow,157,161,196,231,182,186,286,302,244,252,302,318,237,249,287,295
Tabora,141,173,196,235,182,190,286,306,244,256,322,326,237,237,279,287
Tanga,161,173,196,200,190,190,302,306,244,260,302,326,237,249,271,279
Tarzan,141,173,200,200,182,190,268,302,244,256,302,322,229,249,279,295
Titan,173,173,200,204,190,194,268,302,256,264,302,310,237,237,271,287
Titania,141,157,200,231,182,190,286,302,,,,,,,,
Tom,141,161,196,231,190,190,290,302,256,260,302,322,241,249,271,295
Trezia,141,141,200,204,186,186,302,306,248,260,310,330,241,249,283,295
Tubi,141,157,204,204,186,190,268,294,248,256,302,310,241,241,295,295
Vanilla,141,157,204,204,182,186,298,298,244,260,310,322,237,245,279,295
Wema,141,157,231,235,190,190,268,294,256,256,302,310,229,237,271,295
Wilkie,153,161,204,235,182,186,286,298,248,260,318,322,237,249,283,295
Yamaha,157,161,200,204,182,186,298,302,244,248,318,326,237,249,295,295
Yolanda,157,161,196,200,182,186,298,302,232,244,310,326,237,241,287,295
Zella,141,141,196,204,182,186,290,306,248,256,302,310,241,241,295,295
Zeus,141,173,200,204,186,194,298,302,248,248,302,310,237,241,279,295
Zinda,141,161,204,204,186,190,302,306,244,260,318,330,237,249,279,295
