"sample_name","sample_title","organism","strain","age","sex","tissue","collection_date","Dataset","Run","Sample","Replicate","GMCode","TZCode","Locus","Abbreviation","ChimpNumber","Alive","title","library_ID","design_description","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","filetype","filename","filename2","Filename","SRR"
"170710_M00281_0242_000000000-BBC66_Rep1-1-GM1_S49_L001","Dataset_1-GM_1542-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"1","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_1","170710_M00281_0242_000000000-BBC66_Rep1-1-GM1_S49_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-1-GM1_S49_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-1-GM1_S49_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-1-GM1_S49_L001_R1_001.fastq.gz","SRR6742357"
"170712_M00281_0243_000000000-BBD2K_Rep2-1-GM1_S49_L001","Dataset_1-GM_1542-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"1","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_1","170712_M00281_0243_000000000-BBD2K_Rep2-1-GM1_S49_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-1-GM1_S49_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-1-GM1_S49_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-1-GM1_S49_L001_R1_001.fastq.gz","SRR6741798"
"170717_M00281_0245_000000000-BBYDN_Rep3-1-GM1_S49_L001","Dataset_1-GM_1542-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"1","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_1","170717_M00281_0245_000000000-BBYDN_Rep3-1-GM1_S49_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-1-GM1_S49_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-1-GM1_S49_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-1-GM1_S49_L001_R1_001.fastq.gz","SRR6741794"
"170721_M00281_0248_000000000-BBWCL_Pooled-1-GM1_S49_L001","Dataset_1-GM_1542-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"1","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_1","170721_M00281_0248_000000000-BBWCL_Pooled-1-GM1_S49_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-1-GM1_S49_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-1-GM1_S49_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-1-GM1_S49_L001_R1_001.fastq.gz","SRR6742358"
"170710_M00281_0242_000000000-BBC66_Rep1-2-GM1_S61_L001","Dataset_1-GM_1542-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"2","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_2","170710_M00281_0242_000000000-BBC66_Rep1-2-GM1_S61_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-2-GM1_S61_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-2-GM1_S61_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-2-GM1_S61_L001_R1_001.fastq.gz","SRR6742194"
"170712_M00281_0243_000000000-BBD2K_Rep2-2-GM1_S61_L001","Dataset_1-GM_1542-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"2","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_2","170712_M00281_0243_000000000-BBD2K_Rep2-2-GM1_S61_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-2-GM1_S61_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-2-GM1_S61_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-2-GM1_S61_L001_R1_001.fastq.gz","SRR6742249"
"170717_M00281_0245_000000000-BBYDN_Rep3-2-GM1_S61_L001","Dataset_1-GM_1542-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"2","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_2","170717_M00281_0245_000000000-BBYDN_Rep3-2-GM1_S61_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-2-GM1_S61_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-2-GM1_S61_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-2-GM1_S61_L001_R1_001.fastq.gz","SRR6742153"
"170721_M00281_0248_000000000-BBWCL_Pooled-2-GM1_S61_L001","Dataset_1-GM_1542-Locus_2","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"2","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_2","170721_M00281_0248_000000000-BBWCL_Pooled-2-GM1_S61_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-2-GM1_S61_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-2-GM1_S61_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-2-GM1_S61_L001_R1_001.fastq.gz","SRR6741809"
"170710_M00281_0242_000000000-BBC66_Rep1-3-GM1_S73_L001","Dataset_1-GM_1542-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"3","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_3","170710_M00281_0242_000000000-BBC66_Rep1-3-GM1_S73_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-3-GM1_S73_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-3-GM1_S73_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-3-GM1_S73_L001_R1_001.fastq.gz","SRR6742452"
"170712_M00281_0243_000000000-BBD2K_Rep2-3-GM1_S73_L001","Dataset_1-GM_1542-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"3","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_3","170712_M00281_0243_000000000-BBD2K_Rep2-3-GM1_S73_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-3-GM1_S73_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-3-GM1_S73_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-3-GM1_S73_L001_R1_001.fastq.gz","SRR6741924"
